X,Y,OBJECTID,STATION_NU,STR_NAME,CHIEF_LOCA,HAZMAT,BUILD_COLLAPSE,RIG_COUNT
-93.2610296527454,44.9774911416747,1,1,530 3RD ST S,N,N,N,1
-93.2673666517289,45.0010273438165,2,2,143 13TH AVE NE,Y,N,N,1
-93.2868482023948,44.9893822657957,3,4,1101 6TH ST N,N,N,N,2
-93.2526047004453,44.9535759555576,4,5,2700 BLOOMINGTON AVE,N,N,N,1
-93.2755524796868,44.9672957078308,5,6,121 15TH ST E,Y,N,Y,3
-93.2437228209743,44.9628435335859,6,7,2000 FRANKLIN AVE E,Y,N,N,2
-93.2795184518347,44.9521594213459,7,8,2729 BLAISDELL AVE S,N,N,N,1
-93.2498762312632,44.9888341507326,8,11,229 6TH ST SE,N,Y,N,2
-93.2238579304305,44.9052763703463,9,12,5401 33RD AVE S,N,N,N,1
-93.2370122306304,45.0169658061439,10,15,2701 JOHNSON ST NE,N,N,N,1
-93.3010666136427,44.9809762396397,11,16,1600 GLENWOOD AVE,N,N,N,1
-93.2708932264302,44.9342736070612,12,17,330 38TH ST E,Y,N,N,1
-93.2257925062938,44.974561570943,13,19,200 ONTARIO ST SE,N,N,N,1
-93.2989624142942,45.0396951125582,14,20,4646 HUMBOLDT AVE N,N,N,N,1
-93.2251620066436,44.9340288816841,15,21,3209 38TH ST E,N,N,N,2
-93.3204369690462,44.9480888743948,16,22,3025 MARKET PLAZA,N,N,N,1
-93.2782389705957,44.9049153446352,17,27,5410 NICOLLET AVE,N,N,N,2
-93.3155585502164,44.9124958454128,18,28,2810 50TH ST W,N,N,N,1
-93.3048614145081,45.0133647500122,19,14,2002 LOWRY AVE N,N,N,N,2
