FID,alarm_date,station,clear_date,latitude,longitude
,2016/08/02,21 ,2016/08/02,,
,2016/08/02,06 ,2016/08/02,44.9627504,-93.3054853
,2016/08/02,07 ,2016/08/02,44.9617,-93.261202
,2016/08/03,05 ,2016/08/03,44.891355,-93.2468121
,2016/08/03,21 ,2016/08/03,,
,2016/08/04,14 ,2016/08/04,44.9800922,-93.2955459
,2016/08/04,14 ,2016/08/04,44.978952,-93.317261
,2016/08/04,14 ,2016/08/04,44.9774221,-93.3083569
,2016/08/05,05 ,2016/08/05,,
,2016/08/06,15 ,2016/08/06,45.0045641,-93.2278658
,2016/08/06,07 ,2016/08/06,44.9650653,-93.2650342
,2016/08/07,14 ,2016/08/07,44.9816587,-93.2908565
,2016/08/07,04 ,2016/08/07,,
,2016/08/07,15 ,2016/08/07,,
,2016/08/07,04 ,2016/08/07,44.9809272,-93.293024
,2016/08/08,15 ,2016/08/08,45.0045641,-93.2278658
,2016/08/08,14 ,2016/08/08,44.9826533,-93.3070509
,2016/08/09,14 ,2016/08/09,45.00301266666667,-93.310342
,2016/08/10,04 ,2016/08/10,,
,2016/08/10,20 ,2016/08/10,44.9810905,-93.2971651
,2016/08/10,08 ,2016/08/10,,
,2016/08/10,14 ,2016/08/10,,
,2016/08/10,27 ,2016/08/10,44.91703981632653,-93.28197085714288
,2016/08/11,01 ,2016/08/11,44.9771711,-93.2590608
,2016/08/11,01 ,2016/08/11,44.97650715,-93.2550482006807
,2016/08/12,17 ,2016/08/12,44.9448077,-93.2702999
,2016/08/12,21 ,2016/08/12,44.9340258,-93.2320337
,2016/08/13,07 ,2016/08/13,44.8973649,-93.2471263
,2016/08/13,04 ,2016/08/13,,
,2016/08/13,19 ,2016/08/13,44.9703826,-93.2230172
,2016/08/13,14 ,2016/08/13,44.9781921,-93.2994505
,2016/08/14,01 ,2016/08/14,44.9785087,-93.263488
,2016/08/14,06 ,2016/08/14,44.9749272,-93.2739634
,2016/08/15,04 ,2016/08/15,44.9829567,-93.2703947
,2016/08/16,20 ,2016/08/16,44.9826587,-93.3110941
,2016/08/16,17 ,2016/08/17,44.9443173,-93.2881133
,2016/08/17,06 ,2016/08/17,,
,2016/08/17,27 ,2016/08/17,,
,2016/08/17,04 ,2016/08/17,44.999221,-93.288161
,2016/08/18,14 ,2016/08/18,44.9809272,-93.293024
,2016/08/18,07 ,2016/08/18,,
,2016/08/19,06 ,2016/08/19,,
,2016/08/20,07 ,2016/08/20,,
,2016/08/21,27 ,2016/08/21,,
,2016/08/22,16 ,2016/08/22,44.9805122,-93.31031858413463
,2016/08/22,04 ,2016/08/22,,
,2016/08/23,14 ,2016/08/23,44.9809272,-93.293024
,2016/08/23,28 ,2016/08/23,44.8992563809498,-93.30765660203916
,2016/08/24,28 ,2016/08/24,44.906049,-93.310516
,2016/08/25,21 ,2016/08/25,,
,2016/08/25,14 ,2016/08/25,44.9826533,-93.3070509
,2016/08/25,05 ,2016/08/25,44.9394059,-93.2740403
,2016/08/26,11 ,2016/08/26,,
,2016/08/26,06 ,2016/08/26,44.96913085,-93.29411881203676
,2016/08/26,04 ,2016/08/26,44.9781921,-93.2994505
,2016/08/26,02 ,2016/08/26,,
,2016/08/26,05 ,2016/08/26,,
,2016/08/27,02 ,2016/08/27,,
,2016/08/27,05 ,2016/08/27,,
,2016/08/28,16 ,2016/08/29,44.978952,-93.317261
,2016/08/30,06 ,2016/08/30,,
,2016/08/31,05 ,2016/08/31,44.94569009999999,-93.26616553270144
,2016/09/01,06 ,2016/09/01,44.9689168,-93.2819262
1.0,2012/02/21,20 ,2012/02/21,45.02724,-93.28623
2.0,2012/01/01,04 ,2012/01/01,44.997412,-93.298301
3.0,2012/01/01,22 ,2012/01/01,44.948333,-93.298333
4.0,2012/01/01,07 ,2012/01/01,44.963666,-93.247266
5.0,2012/01/01,14 ,2012/01/01,45.006027,-93.311575
6.0,2012/01/01,19 ,2012/01/01,44.983857,-93.231284
7.0,2012/01/01,19 ,2012/01/01,44.986543,-93.237995
8.0,2012/01/01,06 ,2012/01/01,44.975278,-93.271944
9.0,2012/01/01,19 ,2012/01/01,44.970191,-93.222883
10.0,2012/01/01,19 ,2012/01/01,44.980556,-93.235556
11.0,2012/01/01,06 ,2012/01/01,44.973009,-93.275562
12.0,2012/01/01,11 ,2012/01/01,44.985804,-93.255615
13.0,2012/01/01,07 ,2012/01/01,44.951969,-93.233127
14.0,2012/01/01,19 ,2012/01/01,44.989502,-93.228217
15.0,2012/01/01,20 ,2012/01/01,45.044724,-93.311788
16.0,2012/01/01,06 ,2012/01/01,44.974075,-93.274636
17.0,2012/01/01,04 ,2012/01/01,44.980457,-93.273827
18.0,2012/01/01,04 ,2012/01/01,44.982778,-93.275
19.0,2012/01/01,01 ,2012/01/01,44.978056,-93.256111
20.0,2012/01/01,14 ,2012/01/01,45.006018,-93.308212
21.0,2012/01/01,02 ,2012/01/01,44.997432,-93.268184
22.0,2012/01/01,21 ,2012/01/01,44.924558,-93.232145
23.0,2012/01/01,06 ,2012/01/01,44.973985,-93.274696
24.0,2012/01/01,12 ,2012/01/01,44.903561,-93.222754
25.0,2012/01/01,02 ,2012/01/01,44.996667,-93.265833
26.0,2012/01/01,04 ,2012/01/01,44.981111,-93.272778
27.0,2012/01/01,22 ,2012/01/01,44.964097,-93.308926
28.0,2012/01/01,04 ,2012/01/01,45.003686,-93.285303
29.0,2012/01/01,14 ,2012/01/01,45.00151,-93.29564
30.0,2012/01/01,06 ,2012/01/01,44.963255,-93.303271
31.0,2012/01/01,11 ,2012/01/01,44.995927,-93.25625
32.0,2012/01/01,06 ,2012/01/01,44.972228,-93.270555
33.0,2012/01/01,01 ,2012/01/01,44.980278,-93.271111
34.0,2012/01/01,16 ,2012/01/01,44.982768,-93.307045
35.0,2012/01/01,08 ,2012/01/01,44.955143,-93.274055
36.0,2012/01/01,17 ,2012/01/01,44.935174,-93.276619
